_id,uuid,provider_id,_id,uuid,provider_Id,provider_name
5885864dbebc58b0fe92b09302ce907d,9CED622MT,undefined,5885864dbebc58b0fe92b09302ce5f6b,9CED622MT,4,"Profamilia (Santo Domingo/Santo Domingo Norte)"
5885864dbebc58b0fe92b09302ce6cf7,EYPHQX982,undefined,5885864dbebc58b0fe92b09302ce5a01,EYPHQX982,15,UCNE
5885864dbebc58b0fe92b09302cde0b0,ENSHD4AT9,undefined,5885864dbebc58b0fe92b09302cd98f4,ENSHD4AT9,4,"Profamilia (Santo Domingo/Santo Domingo Norte)"
5885864dbebc58b0fe92b09302cdf0a4,D6YGZ7HJ5,undefined,5885864dbebc58b0fe92b09302cdd0fc,D6YGZ7HJ5,15,UCNE
5885864dbebc58b0fe92b09302cd4b78,Y1Q7JS335,undefined,5885864dbebc58b0fe92b09302cd2f77,Y1Q7JS335,15,UCNE
5885864dbebc58b0fe92b09302cd2d78,0F9Q5B4B5,undefined,5885864dbebc58b0fe92b09302ccffb1,0F9Q5B4B5,4,"Profamilia (Santo Domingo/Santo Domingo Norte)"
5885864dbebc58b0fe92b09302ccfcb3,89YDN2WCM,undefined,5885864dbebc58b0fe92b09302cccbe0,89YDN2WCM,15,UCNE
5885864dbebc58b0fe92b09302cc78bc,RE26NZ1F7,undefined,5885864dbebc58b0fe92b09302cc3b10,RE26NZ1F7,15,UCNE
5885864dbebc58b0fe92b09302ccb507,55GX8QK7T,undefined,5885864dbebc58b0fe92b09302cc7389,55GX8QK7T,4,"Profamilia (Santo Domingo/Santo Domingo Norte)"
5885864dbebc58b0fe92b09302ccbf0b,RT1GARKVH,undefined,5885864dbebc58b0fe92b09302cca415,RT1GARKVH,15,UCNE
5885864dbebc58b0fe92b09302c90b5d,7HVSTK7WD,undefined,5885864dbebc58b0fe92b09302c8fdd1,7HVSTK7WD,15,UCNE
5885864dbebc58b0fe92b09302cc5df2,J0ZPS2RV0,undefined,5885864dbebc58b0fe92b09302cc3287,J0ZPS2RV0,15,UCNE
5885864dbebc58b0fe92b09302c8db93,X8MDZ218E,undefined,5885864dbebc58b0fe92b09302c8bc94,X8MDZ218E,15,UCNE
5885864dbebc58b0fe92b09302cc23a2,VE42J790S,undefined,5885864dbebc58b0fe92b09302cbf936,VE42J790S,4,"Profamilia (Santo Domingo/Santo Domingo Norte)"
5885864dbebc58b0fe92b09302c888e2,CNS80ECYT,undefined,5885864dbebc58b0fe92b09302c8837b,CNS80ECYT,15,UCNE
5885864dbebc58b0fe92b09302cc324a,QER51XPD0,undefined,5885864dbebc58b0fe92b09302cc24d9,QER51XPD0,15,UCNE
5885864dbebc58b0fe92b09302c86ca8,FVCTQSX5Y,undefined,5885864dbebc58b0fe92b09302c857f8,FVCTQSX5Y,15,UCNE
5885864dbebc58b0fe92b09302caa850,F8Q2D9591,undefined,5885864dbebc58b0fe92b09302ca82b1,F8Q2D9591,15,UCNE
5885864dbebc58b0fe92b09302cbedd4,0ZWKPKF6=,undefined,5885864dbebc58b0fe92b09302cb6767,0ZWKPKF6=,15,UCNE
