_id,uuid,provider_Id,provider_name
5885864dbebc58b0fe92b09302c4a2ff,3KF1QN5JJ,15,UCNE
5885864dbebc58b0fe92b09302c406aa,PYGRFQQ67,15,UCNE
5885864dbebc58b0fe92b09302c4f4b6,J4K03DF7K,6,IDDI (Santo Domingo/Distrito Nacional)
5885864dbebc58b0fe92b09302c4772e,6SAB076B=,4,Profamilia (Santo Domingo/Santo Domingo Norte)
5885864dbebc58b0fe92b09302bed932,NMWF5BMRV,15,UCNE
5885864dbebc58b0fe92b09302c42cb3,K2QKNQ8VU,15,UCNE
5885864dbebc58b0fe92b09302c4181b,MFANGJCEV,6,IDDI (Santo Domingo/Distrito Nacional)
5885864dbebc58b0fe92b09302c34048,H3GYK3DCG,15,UCNE
5885864dbebc58b0fe92b09302be6efc,T6W9RSK0M,15,UCNE
5885864dbebc58b0fe92b09302c3f775,WCZ4170B$,4,Profamilia (Santo Domingo/Santo Domingo Norte)
5885864dbebc58b0fe92b09302c3a53c,GSGM9Q60H,15,UCNE
5885864dbebc58b0fe92b09302c28c2a,5MKTGJGZW,15,UCNE
5885864dbebc58b0fe92b09302bdf270,JK71ZYWN~,15,UCNE
5885864dbebc58b0fe92b09302c32409,3YCY94JH1,6,IDDI (Santo Domingo/Distrito Nacional)
5885864dbebc58b0fe92b09302c2d65c,3XYJ8KNBT,4,Profamilia (Santo Domingo/Santo Domingo Norte)
5885864dbebc58b0fe92b09302bc4e06,Q2SAG188P,15,UCNE
5885864dbebc58b0fe92b09302c2cdae,29G7RR94Q,6,IDDI (Santo Domingo/Distrito Nacional)
5885864dbebc58b0fe92b09302c2c136,XTBG848DZ,15,UCNE
5885864dbebc58b0fe92b09302c15fd8,TFVKJW5ND,15,UCNE
5885864dbebc58b0fe92b09302c2516a,5NB9E2T1D,4,Profamilia (Santo Domingo/Santo Domingo Norte)
5885864dbebc58b0fe92b09302bc0b9a,4TNHRV17K,15,UCNE
5885864dbebc58b0fe92b09302c25b0d,CJDAYZ7PT,4,Profamilia (Santo Domingo/Santo Domingo Norte)
5885864dbebc58b0fe92b09302c1c799,XCHTGHFY2,6,IDDI (Santo Domingo/Distrito Nacional)
5885864dbebc58b0fe92b09302c171d5,EVT3145J3,15,UCNE
5885864dbebc58b0fe92b09302bb9dc0,3KYNT9T83,15,UCNE
5885864dbebc58b0fe92b09302c154d7,VHEJEATM1,4,Profamilia (Santo Domingo/Santo Domingo Norte)
5885864dbebc58b0fe92b09302bfaa90,5VFSCRT9F,4,Profamilia (Santo Domingo/Santo Domingo Norte)
